City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Cape Town,ZA,2019-11-10 06:31:07,-33.93,18.42,66.0,82,79,8.05,broken clouds,0.0,0.0
1,Shimoda,JP,2019-11-10 06:34:44,34.7,138.93,66.2,52,20,5.82,few clouds,0.0,0.0
2,Mahebourg,MU,2019-11-10 06:34:44,-20.41,57.7,80.6,65,75,10.29,broken clouds,0.0,0.0
3,Mataura,NZ,2019-11-10 06:34:45,-46.19,168.86,51.01,78,92,5.01,light rain,0.88,0.0
4,Kirakira,SB,2019-11-10 06:34:45,-10.46,161.92,80.22,68,72,6.02,broken clouds,0.0,0.0
5,Westport,US,2019-11-10 06:30:36,41.14,-73.36,41.0,59,1,6.93,clear sky,0.0,0.0
6,Salihorsk,BY,2019-11-10 06:33:38,52.79,27.54,47.12,96,79,7.27,broken clouds,0.0,0.0
7,East London,ZA,2019-11-10 06:31:01,-33.02,27.91,66.2,88,40,9.17,scattered clouds,0.0,0.0
8,Klaksvik,FO,2019-11-10 06:34:45,62.23,-6.59,37.4,64,87,3.36,overcast clouds,0.0,0.0
9,Olga,US,2019-11-10 06:30:03,34.11,-118.17,71.6,63,1,2.57,clear sky,0.0,0.0
10,Lokoja,NG,2019-11-10 06:34:46,7.8,6.74,75.79,72,100,1.39,overcast clouds,0.0,0.0
11,Ushuaia,AR,2019-11-10 06:34:46,-54.81,-68.31,37.4,86,18,6.93,few clouds,0.0,0.0
12,Puerto Leguizamo,CO,2019-11-10 06:34:46,-0.19,-74.78,72.18,96,98,1.95,overcast clouds,0.0,0.0
13,Hithadhoo,MV,2019-11-10 06:34:46,-0.6,73.08,82.24,74,10,11.01,light rain,0.44,0.0
14,Punta Arenas,CL,2019-11-10 06:34:47,-53.16,-70.91,35.6,69,33,3.36,scattered clouds,0.0,0.0
15,Adrar,DZ,2019-11-10 06:34:47,27.87,-0.29,44.6,42,0,8.05,clear sky,0.0,0.0
16,Rikitea,PF,2019-11-10 06:34:47,-23.12,-134.97,73.85,72,97,13.06,overcast clouds,0.0,0.0
17,New Norfolk,AU,2019-11-10 06:34:47,-42.78,147.06,60.8,44,75,12.75,broken clouds,0.0,0.0
18,Ayan,IR,2019-11-10 06:34:47,38.23,44.7,44.17,18,0,1.19,clear sky,0.0,0.0
19,Lakkion,GR,2019-11-10 06:32:45,37.13,26.85,68.0,82,20,4.7,few clouds,0.0,0.0
20,Novikovo,RU,2019-11-10 06:34:48,51.15,37.89,42.76,93,45,10.74,scattered clouds,0.0,0.0
21,Busselton,AU,2019-11-10 06:34:48,-33.64,115.35,82.0,33,15,12.41,few clouds,0.0,0.0
22,Laguna,BZ,2019-11-10 06:34:48,16.17,-88.94,77.0,94,75,2.73,broken clouds,0.0,0.0
23,Naze,NG,2019-11-10 06:34:48,5.43,7.07,73.4,100,75,11.41,light rain,0.0,0.0
24,Oda,JP,2019-11-10 06:34:48,35.19,132.5,60.8,59,75,13.87,broken clouds,0.0,0.0
25,Arraial Do Cabo,BR,2019-11-10 06:34:49,-22.97,-42.02,73.04,93,100,14.65,overcast clouds,0.0,0.0
26,Bluff,AU,2019-11-10 06:34:49,-23.58,149.07,89.69,9,15,2.98,few clouds,0.0,0.0
27,Lavrentiya,RU,2019-11-10 06:34:49,65.58,-170.99,34.41,96,100,5.61,light rain,0.25,0.0
28,Anton Lizardo,MX,2019-11-10 06:34:50,19.05,-95.98,72.93,87,100,14.38,light rain,0.94,0.0
29,Victoria,BN,2019-11-10 06:31:37,5.28,115.24,87.8,70,75,3.36,broken clouds,0.0,0.0
30,Suining,CN,2019-11-10 06:34:50,30.51,105.57,68.86,55,100,5.61,overcast clouds,0.0,0.0
31,Paso De Carrasco,UY,2019-11-10 06:34:50,-34.86,-56.05,64.0,87,20,8.05,few clouds,0.0,0.0
32,Ponta Do Sol,BR,2019-11-10 06:34:50,-20.63,-46.0,67.28,92,100,2.8,light rain,1.06,0.0
33,Neiafu,TO,2019-11-10 06:34:51,-18.65,-173.98,78.8,78,20,5.82,few clouds,0.0,0.0
34,Ola,RU,2019-11-10 06:34:51,59.58,151.3,18.84,64,98,12.8,overcast clouds,0.0,0.0
35,Castro,CL,2019-11-10 06:34:51,-42.48,-73.76,48.2,100,87,1.12,overcast clouds,0.0,0.0
36,Fukue,JP,2019-11-10 06:34:51,35.03,136.69,63.0,42,75,3.36,broken clouds,0.0,0.0
37,Qaanaaq,GL,2019-11-10 06:34:51,77.48,-69.36,-5.12,39,0,5.61,clear sky,0.0,0.0
38,Coquimbo,CL,2019-11-10 06:34:52,-29.95,-71.34,53.6,93,0,1.12,clear sky,0.0,0.0
39,Sao Gabriel Da Cachoeira,BR,2019-11-10 06:34:52,-0.13,-67.09,73.42,96,50,1.66,scattered clouds,0.0,0.0
40,Hilo,US,2019-11-10 06:34:52,19.71,-155.08,78.8,78,1,3.36,clear sky,0.0,0.0
41,San Patricio,PY,2019-11-10 06:34:52,-26.98,-56.83,71.15,98,100,4.74,overcast clouds,0.0,0.0
42,Shellbrook,CA,2019-11-10 06:34:53,53.22,-106.39,10.4,60,90,11.41,light snow,0.0,0.0
43,Barrow,AR,2019-11-10 06:34:53,-38.31,-60.23,45.64,75,0,7.43,clear sky,0.0,0.0
44,Canavieiras,BR,2019-11-10 06:34:53,-15.68,-38.95,73.15,90,4,5.06,clear sky,0.0,0.0
45,Tuktoyaktuk,CA,2019-11-10 06:34:53,69.44,-133.03,6.8,65,5,14.99,clear sky,0.0,0.0
46,San Quintin,PH,2019-11-10 06:34:53,17.54,120.52,81.09,78,100,3.02,moderate rain,4.31,0.0
47,San Cristobal,HN,2019-11-10 06:34:54,14.68,-86.92,64.35,99,90,3.06,overcast clouds,0.0,0.0
48,Kysyl-Syr,RU,2019-11-10 06:34:54,63.9,122.77,0.12,95,100,5.3,light snow,0.0,0.69
49,Butaritari,KI,2019-11-10 06:34:54,3.07,172.79,85.32,60,86,1.36,overcast clouds,0.0,0.0
50,Talnakh,RU,2019-11-10 06:34:54,69.49,88.39,-16.61,75,40,4.47,scattered clouds,0.0,0.0
51,Roi Et,TH,2019-11-10 06:34:54,16.06,103.65,84.2,37,12,11.41,few clouds,0.0,0.0
52,Port Alfred,ZA,2019-11-10 06:34:54,-33.59,26.89,64.99,94,100,5.99,overcast clouds,0.0,0.0
53,Atuona,PF,2019-11-10 06:34:55,-9.8,-139.03,79.79,80,2,14.25,light rain,0.25,0.0
54,Provideniya,RU,2019-11-10 06:34:55,64.42,-173.23,33.96,98,100,4.21,light rain,0.19,0.0
55,Kapaa,US,2019-11-10 06:34:55,22.08,-159.32,75.2,83,90,5.82,overcast clouds,0.0,0.0
56,Millbrook,US,2019-11-10 06:31:56,32.48,-86.36,44.6,93,90,0.87,fog,0.0,0.0
57,Deniliquin,AU,2019-11-10 06:34:56,-35.53,144.96,73.0,39,12,8.99,few clouds,0.0,0.0
58,Te Anau,NZ,2019-11-10 06:34:56,-45.41,167.72,45.88,80,69,9.4,light rain,0.75,0.0
59,Cap-Chat,CA,2019-11-10 06:34:56,49.1,-66.68,23.16,71,100,10.36,light snow,0.0,0.25
60,Torbay,CA,2019-11-10 06:34:57,47.66,-52.73,32.0,58,20,6.93,few clouds,0.0,0.0
61,Upernavik,GL,2019-11-10 06:34:57,72.79,-56.15,16.0,67,75,2.8,broken clouds,0.0,0.0
62,Mnogovershinnyy,RU,2019-11-10 06:34:57,53.94,139.92,16.0,77,0,4.97,clear sky,0.0,0.0
63,Hobart,AU,2019-11-10 06:34:57,-42.88,147.33,60.8,44,75,12.75,broken clouds,0.0,0.0
64,Yellowknife,CA,2019-11-10 06:34:57,62.45,-114.38,5.0,77,75,9.17,light snow,0.0,0.0
65,Ribeira Grande,PT,2019-11-10 06:34:58,38.52,-28.7,62.78,84,51,5.91,broken clouds,0.0,0.0
66,Tautira,PF,2019-11-10 06:34:58,-17.73,-149.15,78.8,78,90,3.36,overcast clouds,0.0,0.0
67,Albany,US,2019-11-10 06:34:58,42.65,-73.75,35.6,37,90,10.29,overcast clouds,0.0,0.0
68,Storslett,NO,2019-11-10 06:34:58,69.77,21.03,28.35,50,0,7.67,clear sky,0.0,0.0
69,Tecoanapa,MX,2019-11-10 06:34:58,16.99,-99.26,80.6,94,5,5.82,clear sky,0.0,0.0
