City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
9,Olga,US,71.6,34.11,-118.17,clear sky,"The Langham, Huntington, Pasadena"
10,Lokoja,NG,75.79,7.8,6.74,overcast clouds,Hotel Charvid
12,Puerto Leguizamo,CO,72.18,-0.19,-74.78,overcast clouds,la casona de juancho
16,Rikitea,PF,73.85,-23.12,-134.97,overcast clouds,Pension Maro'i
22,Laguna,BZ,77.0,16.17,-88.94,broken clouds,Laguna Maya Lodge
23,Naze,NG,73.4,5.43,7.07,light rain,Female Hostel C
25,Arraial Do Cabo,BR,73.04,-22.97,-42.02,overcast clouds,Pousada Porto Praia
33,Neiafu,TO,78.8,-18.65,-173.98,few clouds,Mystic Sands
39,Sao Gabriel Da Cachoeira,BR,73.42,-0.13,-67.09,scattered clouds,Alarne - Área De Lazer Do Alto Rio Negro
40,Hilo,US,78.8,19.71,-155.08,clear sky,Hilo Seaside Hotel
41,San Patricio,PY,71.15,-26.98,-56.83,overcast clouds,Posada Doña Antonia
44,Canavieiras,BR,73.15,-15.68,-38.95,clear sky,Bahiadomizil
55,Kapaa,US,75.2,22.08,-159.32,overcast clouds,Courtyard by Marriott Kaua'i at Coconut Beach
57,Deniliquin,AU,73.0,-35.53,144.96,few clouds,Riviana Motel
66,Tautira,PF,78.8,-17.73,-149.15,overcast clouds,Pension Oaoa
74,Pimentel,BR,73.69,-3.7,-45.5,few clouds,
82,Sur,OM,79.2,22.57,59.53,broken clouds,Sur Plaza Hotel
85,Matara,BI,73.4,-3.48,29.48,broken clouds,
88,Namibe,AO,77.07,-15.19,12.15,scattered clouds,Chik-Chik Namibe
97,Tefe,BR,75.6,-3.35,-64.71,broken clouds,Aracati Hotel
105,Luwingu,ZM,79.27,-10.26,29.92,broken clouds,Mountain City Hotel
108,Alofi,NU,78.8,-19.06,-169.92,clear sky,Taloa Heights
113,Freeport,BS,73.76,26.54,-78.7,clear sky,Castaways Resort & Suites
114,Kutum,SD,70.12,14.2,24.66,broken clouds,
121,Jamestown,AU,75.81,-33.21,138.6,clear sky,Jamestown Motel Terraces
144,Sao Filipe,CV,74.25,14.9,-24.5,overcast clouds,Tortuga B&B
146,Touros,BR,75.2,-5.2,-35.46,scattered clouds,INN NEW HORIZON
149,Lambarene,GA,75.88,-0.7,10.22,overcast clouds,Le Refuge
152,Inirida,CO,73.17,3.87,-67.92,scattered clouds,Fuente del Guania Hotel de Lujo
155,Yining,CN,72.84,29.04,114.56,overcast clouds,Xiushui Hotel
172,Emba,CY,73.4,34.81,32.42,clear sky,Elysium Hotel
177,Cam Ranh,VN,73.4,11.92,109.15,moderate rain,PEONY HOTEL
178,Khangah Dogran,PK,77.47,31.83,73.62,clear sky,House #1059 khanqah dogran
193,Matola,MZ,73.0,-25.97,32.47,broken clouds,Guesthouse Yuba
196,Palmer,AU,75.99,-34.85,139.16,clear sky,Palmer Hotel
210,Makakilo City,US,78.8,21.35,-158.09,clear sky,Marriott's Ko Olina Beach Club
212,Gilbues,BR,74.01,-9.83,-45.34,broken clouds,Hotel Camapuã
219,Port-Gentil,GA,77.0,-0.72,8.78,broken clouds,Fengshui Residence
220,Pitimbu,BR,75.2,-7.47,-34.81,few clouds,Reserva do Abiaí
223,Codrington,AU,75.2,-28.95,153.24,overcast clouds,
225,Xuanwu,CN,75.0,32.07,118.81,clear sky,东方珍珠饭店
227,Shuiji,CN,71.56,27.42,118.34,scattered clouds,Century Hotel
229,Barra Do Garcas,BR,71.22,-15.89,-52.26,scattered clouds,Hotel Pousada Tropical
234,Flinders,AU,71.6,-34.58,150.85,scattered clouds,Shellharbour Resort & Conference Centre
238,Atar,MR,71.38,20.52,-13.05,overcast clouds,Oumou Elghoura
243,Jaisalmer,IN,79.05,26.91,70.91,clear sky,Hotel Fifu
246,Isagarh,IN,79.32,24.84,77.89,clear sky,ACC Cement
247,Inongo,CD,75.07,-1.93,18.29,overcast clouds,Hotel Du Lac
249,Hirara,JP,75.2,24.8,125.28,scattered clouds,Hotel Atoll Emerald Miyakojima
252,Georgetown,GY,75.2,6.8,-58.16,few clouds,Kanhai's Center
